"","Price.Earnings","Earnings.Share","Market.Cap","Dividend.Yield","Price.Sales","Price.Book"
"186",25.67742,1.55,22937415680,0.0428,1.7302116,1.8457543
"190",83.98969,0.97,43859701760,0.0175,4.372416,2.669922
"191",14.1114645,3.14,29681231872,0.0334,3.6811647,1.6052022
"192",4.575882,12.19,6963352064,0.041100003,1.67071,1.5112026
"193",11.88264,4.09,22786205696,0.0112,1.5893286,1.9732835
"194",12.513447,4.09,22749509632,0.0106,1.5867691,2.0780382
"195",31.578487,3.44,9297924096,0.040599998,7.8462167,3.126493
"198",32.532,2.5,28217362432,0.0039,4.5547137,2.6730428
"199",18.867842,13.62,69472231424,0.0216,1.5087571,3.0709114
"201",33.48191,6.08,218571079680,0.0058999998,3.1245418,11.673262
"202",24.19178,3.65,40341884928,0.0016,2.062574,4.850316
"203",27.742268,0.97,17188493312,0.0179,4.449519,7.6318774
"204",66.70483,5.59,102785867776,0.0023999999,2.9860516,10.805298
"205",1079.9999,0.09,121137438720,0.0318,4.2806263,6.555608
"206",13.073914,4.6,33151031296,0.0364,1.6742437,3.5782712
"207",10.34661,11.8,10248857600,0.0078,1.7894174,2.2181644
"208",89.793106,0.58,44539285504,0.0219,3.5317805,3.8181818
"209",7.764521,6.37,49252614144,0.0087,0.26955387,0.76698816
"211",27.267906,7.54,2504763113472,0.0039,7.3700066,8.027174
"212",27.09429,7.53,2507303813120,0.004,7.377482,7.965486
"213",14.98067,7.76,16162934784,0.0339,0.6936203,3.4425063
"214",21.292452,5.3,28719761408,0.0089,2.8650084,1.2585455
"215",27.392132,7.88,41448595456,0.0138,6.958148,5.524841
"216",15.922427,40.22,200457388032,0.021,4.05891,1.9547575
"217",28.767464,36.94,51752243200,0.0073,3.0564756,14.775929
"218",9.194346,2.83,22858622976,0.023,0.99070877,2.2188113
"220",14.098361,1.22,25002608640,0.0368,3.737311,1.3720485
"222",28.159946,14.63,411748892672,0.0217,2.6633863,70.5566
"223",15.482183,8.98,42837647360,0.0138,3.437186,3.9456806
"224",10.777778,10.35,32337342464,0.0182,1.2397387,1.9455831
"225",11.150932,17.69,7718645248,0.0276,0.6592625,1.8364458
"228",25.83372,8.66,145694507008,0.0202,3.8492603,8.35774
"229",10.979275,1.93,27871844352,0.024,0.9604357,1.2461774
"231",20.394558,1.47,16459409408,0.0365,1.3738172,2.0896354
"233",16.2233,1.03,11839519744,0.0481,2.117982,1.7402623
"234",17.155172,8.7,30201485312,0.036,2.7526376,7.182041
"235",30.410498,13.91,22703159296,0.0124,4.025383,7.061701
"236",25.587261,11.46,35308118016,0.0119,0.3070004,2.0101457
"237",48.684616,2.6,51424518144,0.0031,7.0735235,11.58627
"238",40.14129,6.37,238808203264,0.0292,3.8160467,9.670953
"239",37.96437,4.21,91770716160,0.0113,10.021919,3.3688138
"241",34.776745,6.45,16985492480,0.0123000005,5.3166056,4.458114
"245",58.51265,10.28,168372879360,0.0061000003,10.339139,9.144269
"246",43.263885,0.72,19082676224,0.0374,7.470035,1.9243838
"247",35.43312,1.57,19326308352,0.0319,1.0368192,2.239623
"248",13.523585,2.12,10680005632,0.046,1.1436042,2.8664267
"250",45.980396,2.04,37887229952,0.00090000004,5.293139,3.6849344
"254",22.438095,11.55,76529950720,0.0231,4.798417,22.569016
"255",16.29661,1.18,8615040000,0.0462,1.4633013,0.8044342
"256",29.19375,4.8,17378502656,0.0083,1.0253645,2.6314507
"257",30.794964,5.56,17217028096,0.0092,1.4060966,4.3157816
"258",15.336166,10.59,17789579264,0.0022,0.6159187,10.635191
"259",37.5,2.08,51490840576,0.0189,2.2434142,3.22354
"260",31.826326,5.47,12701484032,0.0126,5.657281,6.598067
"261",26.36915,5.77,368053878784,0.0335,4.196929,5.2206287
"262",45.868423,0.76,11541762048,0.0256,2.292625,2.4844987
"263",13.541033,19.74,747798462464,0.0202,4.6118264,2.3213198
"264",27.33445,2.99,28172167168,0.0278,2.2011225,7.7183876
"265",19.337349,1.66,43542044672,0.028499998,2.8744419,1.7438068
"268",26.882883,1.11,36081635328,0.0529,1.3808509,0.74648523
"269",41.574074,0.54,15133119488,0.044099998,7.708316,1.4380885
